Rank,Name,Date,Rating,Category,Writer,Director,Stars,More info
11,Fight Club,1999,8.7,Drama,"Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls",David Fincher,Brad Pitt,https://www.imdb.com/title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_11
12,Forrest Gump,1994,8.7,"Drama,Romance","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth",Robert Zemeckis,Tom Hanks,https://www.imdb.com/title/tt0109830/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_12
13,Inception,2010,8.7,"Action,Adventure,Sci-Fi","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan",Christopher Nolan,Leonardo DiCaprio,https://www.imdb.com/title/tt1375666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_13
14,The Lord of the Rings: The Two Towers,2002,8.7,"Action,Adventure,Drama","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens",Peter Jackson,Elijah Wood,https://www.imdb.com/title/tt0167261/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_14
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Action,Adventure,Fantasy","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas",Irvin Kershner,Mark Hamill,https://www.imdb.com/title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_15
16,The Matrix,1999,8.7,"Action,Sci-Fi","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski",Lana Wachowski,Keanu Reeves,https://www.imdb.com/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_16
17,Goodfellas,1990,8.6,"Biography,Crime,Drama","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese",Martin Scorsese,Robert De Niro,https://www.imdb.com/title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17
18,One Flew Over the Cuckoo's Nest,1975,8.6,Drama,"Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey",Milos Forman,Jack Nicholson,https://www.imdb.com/title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18
19,Shichinin no samurai,1954,8.6,"Action,Drama","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni",Akira Kurosawa,Toshirô Mifune,https://www.imdb.com/title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19
20,Se7en,1995,8.6,"Crime,Drama,Mystery","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker",David Fincher,Morgan Freeman,https://www.imdb.com/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20
