Rank,Name,Date,Rating,Category,Writer,Director,Stars,More info
21,The Silence of the Lambs,1991,8.6,"Crime,Drama,Thriller","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally",Jonathan Demme,Jodie Foster,https://www.imdb.com/title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21
22,Cidade de Deus,2002,8.6,"Crime,Drama","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani",Fernando Meirelles,Alexandre Rodrigues,https://www.imdb.com/title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22
23,La vita è bella,1997,8.6,"Comedy,Drama,Family","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra",Frank Capra,James Stewart,https://www.imdb.com/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23
24,It's a Wonderful Life,1946,8.6,"Comedy,Drama,Romance","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni",Roberto Benigni,Roberto Benigni,https://www.imdb.com/title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24
25,Saving Private Ryan,1998,8.6,"Drama,War","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat",Steven Spielberg,Tom Hanks,https://www.imdb.com/title/tt0120815/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_25
26,Star Wars,1977,8.5,"Action,Adventure,Fantasy","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat,George Lucas",George Lucas,Mark Hamill,https://www.imdb.com/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_26
27,Interstellar,2014,8.5,"Adventure,Drama,Sci-Fi","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat,George Lucas,Jonathan Nolan,Christopher Nolan",Christopher Nolan,Matthew McConaughey,https://www.imdb.com/title/tt0816692/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_27
28,Sen to Chihiro no kamikakushi,2001,8.5,"Animation,Adventure,Family","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat,George Lucas,Jonathan Nolan,Christopher Nolan,Hayao Miyazaki",Hayao Miyazaki,Daveigh Chase,https://www.imdb.com/title/tt0245429/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_28
29,The Green Mile,1999,8.5,"Crime,Drama,Fantasy","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat,George Lucas,Jonathan Nolan,Christopher Nolan,Hayao Miyazaki,Stephen King,Frank Darabont",Frank Darabont,Tom Hanks,https://www.imdb.com/title/tt0120689/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_29
30,Spider-Man: No Way Home,2021,8.5,"Action,Adventure,Fantasy","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat,George Lucas,Jonathan Nolan,Christopher Nolan,Hayao Miyazaki,Stephen King,Frank Darabont,Chris McKenna,Erik Sommers,Stan Lee",Jon Watts,Tom Holland,https://www.imdb.com/title/tt10872600/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_30
31,Gisaengchung,2019,8.5,"Comedy,Drama,Thriller","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat,George Lucas,Jonathan Nolan,Christopher Nolan,Hayao Miyazaki,Stephen King,Frank Darabont,Chris McKenna,Erik Sommers,Stan Lee,Bong Joon Ho,Jin-won Han",Bong Joon Ho,Kang-ho Song,https://www.imdb.com/title/tt6751668/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_31
32,Léon,1994,8.5,"Action,Crime,Drama","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat,George Lucas,Jonathan Nolan,Christopher Nolan,Hayao Miyazaki,Stephen King,Frank Darabont,Chris McKenna,Erik Sommers,Stan Lee,Bong Joon Ho,Jin-won Han,Luc Besson",Luc Besson,Jean Reno,https://www.imdb.com/title/tt0110413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_32
33,Seppuku,1962,8.5,"Action,Drama,Mystery","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat,George Lucas,Jonathan Nolan,Christopher Nolan,Hayao Miyazaki,Stephen King,Frank Darabont,Chris McKenna,Erik Sommers,Stan Lee,Bong Joon Ho,Jin-won Han,Luc Besson,Yasuhiko Takiguchi,Shinobu Hashimoto",Masaki Kobayashi,Tatsuya Nakadai,https://www.imdb.com/title/tt0056058/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_33
34,The Pianist,2002,8.5,"Biography,Drama,Music","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat,George Lucas,Jonathan Nolan,Christopher Nolan,Hayao Miyazaki,Stephen King,Frank Darabont,Chris McKenna,Erik Sommers,Stan Lee,Bong Joon Ho,Jin-won Han,Luc Besson,Yasuhiko Takiguchi,Shinobu Hashimoto,Ronald Harwood,Wladyslaw Szpilman",Roman Polanski,Adrien Brody,https://www.imdb.com/title/tt0253474/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_34
35,Terminator 2: Judgment Day,1991,8.5,"Action,Sci-Fi","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat,George Lucas,Jonathan Nolan,Christopher Nolan,Hayao Miyazaki,Stephen King,Frank Darabont,Chris McKenna,Erik Sommers,Stan Lee,Bong Joon Ho,Jin-won Han,Luc Besson,Yasuhiko Takiguchi,Shinobu Hashimoto,Ronald Harwood,Wladyslaw Szpilman,James Cameron,William Wisher",James Cameron,Arnold Schwarzenegger,https://www.imdb.com/title/tt0103064/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_35
36,Back to the Future,1985,8.5,"Adventure,Comedy,Sci-Fi","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat,George Lucas,Jonathan Nolan,Christopher Nolan,Hayao Miyazaki,Stephen King,Frank Darabont,Chris McKenna,Erik Sommers,Stan Lee,Bong Joon Ho,Jin-won Han,Luc Besson,Yasuhiko Takiguchi,Shinobu Hashimoto,Ronald Harwood,Wladyslaw Szpilman,James Cameron,William Wisher,Robert Zemeckis,Bob Gale",Robert Zemeckis,Michael J. Fox,https://www.imdb.com/title/tt0088763/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_36
37,The Usual Suspects,1995,8.5,"Crime,Drama,Mystery","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat,George Lucas,Jonathan Nolan,Christopher Nolan,Hayao Miyazaki,Stephen King,Frank Darabont,Chris McKenna,Erik Sommers,Stan Lee,Bong Joon Ho,Jin-won Han,Luc Besson,Yasuhiko Takiguchi,Shinobu Hashimoto,Ronald Harwood,Wladyslaw Szpilman,James Cameron,William Wisher,Robert Zemeckis,Bob Gale,Irene Mecchi,Jonathan Roberts,Linda Woolverton",Roger Allers,Matthew Broderick,https://www.imdb.com/title/tt0110357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_37
38,Psycho,1960,8.5,"Animation,Adventure,Drama","Stephen King,Frank Darabont,Mario Puzo,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo,Jonathan Nolan,Christopher Nolan,David S. Goyer,Reginald Rose,Thomas Keneally,Steven Zaillian,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Quentin Tarantino,Roger Avary,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Chuck Palahniuk,Jim Uhls,Winston Groom,Eric Roth,Christopher Nolan,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Leigh Brackett,Lawrence Kasdan,George Lucas,Lilly Wachowski,Lana Wachowski,Nicholas Pileggi,Martin Scorsese,Lawrence Hauben,Bo Goldman,Ken Kesey,Akira Kurosawa,Shinobu Hashimoto,Hideo Oguni,Andrew Kevin Walker,Thomas Harris,Ted Tally,Paulo Lins,Bráulio Mantovani,Frances Goodrich,Albert Hackett,Frank Capra,Vincenzo Cerami,Roberto Benigni,Robert Rodat,George Lucas,Jonathan Nolan,Christopher Nolan,Hayao Miyazaki,Stephen King,Frank Darabont,Chris McKenna,Erik Sommers,Stan Lee,Bong Joon Ho,Jin-won Han,Luc Besson,Yasuhiko Takiguchi,Shinobu Hashimoto,Ronald Harwood,Wladyslaw Szpilman,James Cameron,William Wisher,Robert Zemeckis,Bob Gale,Irene Mecchi,Jonathan Roberts,Linda Woolverton,Christopher McQuarrie",Bryan Singer,Kevin Spacey,https://www.imdb.com/title/tt0114814/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=C9MHXW3QTQ4Z5W039YXJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_38
